,ID,promptID,prompt,english_prompt,german_word_count,english_word_count,topic,type,certainty,activations_en_named
10,21,11,Wie kommst du auf Informatik ich dachte eher in die Richtung ingenuier,How did you come to computer science? I was thinking more in the direction of engineering.,12,16,matching,follow-up_question,certain,"{'engineering assistant or design': 10.188, 'computer vision, science, graphics': 8.125, 'generate ideas and solutions': 7.719, 'thinking about or of': 7.031, 'computer operations, virus, controlled, monitors, network, systems': 6.781, 'was verb-ing or state': 6.781, 'computer science and related fields': 6.562, 'how do you': 6.406, 'did you': 6.406, 'bring to life': 6.344}"
11,21,12,3 helf mir bitte mal,3 help me please,5,4,other,request,certain,"{'requests for assistance': 2.5, 'help concepts': 8.25, 'offers of help': 5, 'please and foreign equivalents': 4.562, 'what should': 1.984, '""Me"" followed by verbs in Romance languages': 2.578, 'polite requests followed by punctuation': 2.172, 'prefixes and common suffixes': 2.078}"
12,21,13,Helfe mir zum 3 Punkt,Help me with point 3.,5,5,other,follow-up_request,certain,"{'requests for assistance': 4.344, 'point': 3.844, 'help you with that/your': 6.688, 'numbered lists and ordinals': 5.688, 'point or punto': 4.969, 'step 1': 4.062, 'items followed by descriptions': 3.453, 'how does': 3.141}"
13,21,14,Chemie und Bio Ingenieurwesen?,Chemical and Bioengineering?,4,3,study_program,follow-up_question,certain,"{'chemical industries and products': 3.719, 'question mark': 8.875, 'prefix ""bio"" followed by science terms': 8.812, 'chemicals and pharmaceuticals': 6.562, 'engineering assistant or design': 6.125, 'physical, chemical, nuclear, energy': 4.531, 'chemical formula, properties, industry': 4.125, 'and connecting descriptors': 3.812, 'and followed by noun': 3.562}"
14,21,15,Was sollten meine Interessen sein für Chemie Ingenieur Wesen,What should my interests be for chemical engineering?,9,8,study_program,question,certain,"{'interests and preferences': 8.688, 'chemical industries and products': 8.312, 'what can happen': 7.156, 'engineering assistant or design': 6.469, 'advice for actions': 4.344, 'should I questions': 5.938, 'career pursuit': 4.219, 'my + [noun]': 4.094}"
15,21,16,"Ich bin auf dem tg Mechatronik Mathe ist im guten Bereich und Mechatronik auch,","I am in the Mechatronics program, and my math skills are good, as well as my skills in mechatronics.",14,19,grades,statement,certain,"{'""Me"" followed by verbs in Romance languages': 7.312, 'in a state or situation': 12.75, 'in the location or state': 12, 'Self-description after ""i am"" or ""i\'m""': 7.906, 'mathematics': 7.688, 'good followed by context': 7.531, 'programmatic, programs': 7.281, 'math and science computation': 7.031, 'mechanical engineering and science': 6.156}"
16,21,17,In Chemie bin ich sehr gut aber ich Frage mich ob das generell für mich etwas ist,"I am very good at chemistry, but I wonder if it is generally something for me.",17,16,matching,follow-up_question,uncertain,"{'identifying aptitudes and skills': 10.625, 'generally considered or not': 9.188, 'wondering how/what/if': 9.125, 'Self-description after ""i am"" or ""i\'m""': 7.906, 'good followed by context': 7.344, 'something that': 6.875, 'is it + condition/possibility': 5.906, 'i am [predicate]': 5.562, 'wonder and its continuations': 5.531, 'whether/if conditions': 5.469}"
17,21,18,Ja wir haben Labor übungen in der Schule aber diese sind irgend wann langweilig,"Yes, we have lab exercises at school, but they get boring after a while.",14,14,interests,answer,certain,"{'lab followed by further words': 15.312, 'get followed by state or outcome': 9.875, 'school and its environment': 8.75, 'exercise and physiology': 7.562, 'some time': 6.469, 'graveyard shift boredom': 6.156, 'yes, i am or yes, it is': 5.531, 'reporting actions or states': 5.312, 'but contrasting clauses': 5.188, 'small quantities or durations': 5.031}"
18,21,19,Die weitere Möglichkeit die mich interessiert ist vielleicht lehramt in Technik und noch etwas,Another option that interests me is perhaps teaching in technology and something else.,14,13,interests,statement,uncertain,"{'technology transfer and industry': 11.312, 'technologies and business concepts': 9.562, 'something else': 8.875, 'teaching and learning': 7.875, 'options followed by list introducers': 7.812, 'else entirely': 6.125, 'teaching strategies and methods': 5.906, 'teaching children and students': 4.438, 'how does': 4.438, 'interests and preferences': 4.219}"
19,21,20,Wie schwer ist Chemie Ingenieur Wesen auch wegen Stresslevel,"How difficult is chemical engineering, especially considering the stress levels?",9,10,study_program,follow-up_question,uncertain,"{'chemical industries and products': 11.25, 'stress and its consequences': 10.625, 'especially followed by conditions': 6.719, 'difficult challenges and situations': 6.5, 'engineering assistant or design': 6.219, 'where is or when is': 5.219, 'chemical industry': 5.031, 'level of': 4.906, 'how + adjective expressing quality': 4.406, 'civil engineering topics listed': 4.25}"
20,21,21,Aber ist es auf dem Niveau wie irgend eine andere Ingenieurwissenschaft,But is it on the same level as any other engineering discipline?,11,12,study_program,follow-up_question,certain,"{'engineering assistant or design': 11.062, 'is it + condition/possibility': 8.5, 'state or context following ""the""': 7.969, 'same as': 7.25, 'level of': 5.281, 'on display': 5.188, 'on this/one/same/each/another': 5.031, 'other [noun]': 5, 'any questions or elaborations': 4.938, 'same [X]': 4.906}"
21,21,22,Oder soll ich lieber nur Umwelttechnik studieren,Or should I rather just study environmental engineering?,7,8,study_program,follow-up_question,uncertain,"{'studying and its contexts': 10.25, 'saying ""just""': 7.781, 'should I questions': 7.688, 'engineering assistant or design': 7.562, 'environmental issues': 6.781, 'environmental conditions and consequences': 5.5, 'but rather, rather than': 4.906, 'say': 4.094, 'environmental compliance and management': 3.75, 'saying or telling': 3.641}"
22,21,23,Stelle mir fragen und werte sie aus und sage wozu ich eher neige,"Ask me questions, evaluate them, and tell me what I tend to lean towards.",13,14,matching,request,certain,"{'tend to': 11.188, 'ask me anything': 7.094, 'asking questions': 6.781, 'evaluation and performance': 6.125, 'relates to them': 5.844, 'direction towards something': 5.531, 'tell me about': 5.188, 'comma before and': 5.125, 'evaluate and compare': 4.625, 'evaluate the situation': 4.531}"
23,21,24,Stelle sie einzeln nacheinander,Present them one by one.,4,5,other,follow-up_request,certain,"{'present information': 2.828, 'frame by frame': 5.938, 'relates to them': 5.812, 'step by step': 5.781, 'providing...with': 4.094, 'by or byz': 4.062, 'step-by-step instructions or guide': 3.781, 'one followed by a noun': 2.922, ""one's, one another, one hand"": 2.656}"
24,21,25,1 ich würde sagen es ist schon sehr wichtig das ich auch anhand Praxis etwas tuen kann und auch etwas erfahren kann. Zum 2 kann ich dir eher nichts sagen aber ich glaube etwas die Forschung interessiert mich mehr,"I would say it is very important for me to be able to do something based on practical experience and to gain some insights. As for the second point, I can't really say much, but I believe I am more interested in research.",39,43,interests,answer,certain,"{'practical usage and applications': 13.938, 'able to': 13.5, 'expressing interest in': 9.75, 'second followed by other words': 9.562, 'more than': 9.5, 'would like to': 9.062, 'say whether or what': 8.75, 'in terms of': 8.688, ""can't + verb"": 7.969, 'research question or article': 7.188}"
25,21,26,1 ich würde sagen es ist schon sehr wichtig das ich auch anhand Praxis etwas tuen kann und auch etwas erfahren kann. Zum 2 kann ich dir eher nichts sagen aber ich glaube etwas die Forschung interessiert mich mehr,"I would say it is very important for me to be able to do something based on practical experience and to learn something as well. As for the second point, I can't really say much, but I believe I am more interested in research.",39,44,interests,answer,certain,"{'practical usage and applications': 13.938, 'able to': 13.5, 'expressing interest in': 9.75, 'second followed by other words': 9.562, 'more than': 9.5, 'would like to': 9.062, 'say whether or what': 8.75, 'in terms of': 8.688, ""can't + verb"": 7.969, 'research question or article': 7.188}"
26,21,27,1 ich würde sagen es ist schon sehr wichtig das ich auch anhand Praxis etwas tuen kann und auch etwas erfahren kann. Zum 2 kann ich dir eher nichts sagen aber ich glaube etwas die Forschung interessiert mich mehr 3 es soll schon etwas mit Nachhaltigkeit zu tuen haben aber es soll nicht das ganze Studium darüber gehen 4 ja wahrscheinlich schon Mathe Chemie interessieren mich schon eher,"1 I would say it is very important for me to be able to do something practical and gain experience. 2 I can't really say much about that, but I think I'm more interested in research. 3 It should definitely have something to do with sustainability, but it shouldn't be the sole focus of the entire study. 4 Yes, probably, I am more interested in math and chemistry.",68,68,interests,answer,certain,"{'expressing interest in': 10.375, 'gaining insights and access': 10.125, 'practical usage and applications': 9.562, 'focus on or of': 9.25, ""can't + verb"": 9.25, 'sustainability': 9.125, 'more than': 8.125, 'think followed by a statement': 8, 'say whether or what': 7.969}"
27,22,28,Wo sind duale Studiengänge Main-Tauber-Kreis,Where are dual study programs in the Main-Tauber-Kreis?,5,8,study_program,question,certain,"{'dual or twin relationships': 16.25, 'words starting with ""Ta""': 8.375, 'main program code or identifier': 7.219, 'where from or going': 5.562, 'Fachbereich Informatik Darmstadt': 5.531, 'programmatic, programs': 5.375, 'Baden-Württemberg': 5.344, 'the main character': 5.281, 'german locations and regions': 4.719, 'questions starting with where': 4.594}"
28,22,29,Plätze Duales Studium Physik,Places for Dual Study in Physics,4,6,study_program,follow-up-request,certain,"{'dual or twin relationships': 14, 'physics and scientific terms': 7.156, 'studying and its contexts': 5.125, 'Fachbereich Informatik Darmstadt': 4.25, 'locations and destinations': 3.609, 'degrees in statistics, engineering, technology': 3.594, 'academic research study': 3.5, 'places to visit': 3.484, 'items for specific audiences': 3.406}"
29,22,30,Studiengänge Duales Studium Physik Main-Tauber-Kreis und Würzburg,Degree Programs Dual Study Physics Main-Tauber-Kreis and Würzburg,7,8,study_program,follow-up-request,certain,"{'dual or twin relationships': 8.312, 'words starting with ""Ta""': 8, 'words starting with w': 8, 'Baden-Württemberg': 5.688, 'Fachbereich Informatik Darmstadt': 5.344, 'physics and scientific terms': 5.281, 'K words': 5.219}"
30,22,31,Studium Physik,Study of Physics,2,3,study_program,follow-up_request,certain,"{'physics and scientific terms': 8.188, 'studying and its contexts': 5.281, 'effect of project management': 3.172, 'study of scientific mechanisms': 3, 'words ending in ics': 2.672, 'studied in detail': 2.422, 'how does': 2.234, 'instruction of specific compounds': 2, 'academic subjects and assessments': 1.836, 'academic research study': 1.734}"
31,22,32,Studium Mathe,Mathematics studies,2,2,study_program,follow-up_request,certain,"{'mathematical model': 7.375, 'studying and its contexts': 5.719, 'abstract concepts in evolving fields': 4.031, 'words ending in ics': 3.516, 'study of properties': 3.312, 'television industry, series, and shows': 2.891, 'academic subjects and assessments': 2.547, 'academic research study': 1.984, 'mathematics': 1.758, 'technical terms are': 1.617}"
32,22,33,duales Studium Physik,dual study program in physics,3,5,study_program,follow-up_request,certain,"{'dual or twin relationships': 15.688, 'physics and scientific terms': 7.219, 'programmatic, programs': 5.938, 'studying and its contexts': 5.531, 'Fachbereich Informatik Darmstadt': 3.328, 'academic fields and degrees': 4.562, 'academic research study': 3.953, 'degrees in statistics, engineering, technology': 3.781}"
33,22,34,dauer Physik Studium Master,Duration of Master's Degree in Physics,4,6,study_program,follow-up-request,certain,"{'master and its usages': 12.312, 'duration or length of time': 8.875, 'physics and scientific terms': 7.188, ""master's degree or MSc degree"": 4.625, 'academic fields and degrees': 6.25, 'degree of': 5.562, 'possessive followed by nouns': 5.312, 'duration of programs or conversations': 5.25, ""a master's degree"": 4.438}"
34,22,35,Wie lang dauert ein Physik Studium Main-Tauber-Kreis und Würzburg bei jeder Fakultät,How long does a physics degree take in the Main-Tauber-Kreis and Würzburg at each faculty?,12,15,study_program,question,certain,"{'how long duration': 5.906, 'words starting with ""Ta""': 8.062, 'physics and scientific terms': 8.062, 'the main character': 7.375, 'questions starting with does': 7.25, 'degree of': 6.844, 'words starting with w': 6.719, 'Fachbereich Informatik Darmstadt': 6.094, 'german locations and regions': 5.562}"
35,22,36,Nenne die Dauer eines Physik Studiums bei jeder Fakultät in Main-Tauber-Kreis und Würzburg,Name the duration of a physics degree at each faculty in the Main-Tauber-Kreis and Würzburg.,13,15,study_program,request,certain,"{""you'd like me to"": 9.25, 'would like': 8.25, 'text below is': 6.844, 'requests to provide content': 6.594, 'to assist or perform actions': 6.375, 'you would like me to': 5.969, 'end of question or request': 5.75, 'describing what is wanted': 5.031, 'give me the': 4.562}"
36,23,37,wie sieht der duale studiengang steuern rechnungswesen wirtschaftsrecht aus,"What does the dual study program in taxation, accounting, and business law look like?",9,14,study_program,question,certain,"{'dual or twin relationships': 14.5, 'what does X mean or stand for': 11.375, 'questions starting with does': 7.906, 'Fachbereich Informatik Darmstadt': 7.562, 'academic fields and degrees': 6.812, 'look like or and feel': 6.781, 'accountancy and finance': 6.062, 'programmatic, programs': 5.25, 'tax and its financial aspects': 5.125, 'what does this mean': 5.062}"
37,23,38,was muss ich tun um dann steuerberater zu werden,What do I need to do to become a tax advisor?,9,11,job,question,certain,"{'tax and its financial aspects': 13.625, 'become a profession or state': 7.094, 'what do you': 6.188, 'change of state or role': 6.219, 'what can do': 6.188, 'what to do': 5.375, 'need to': 5.344, 'things to know or do': 5.25}"
38,23,39,muss ich für den steuerberater dann nochmal unterricht besuchen,Do I need to attend classes again for the tax advisor?,9,11,job,question,certain,"{'tax and its financial aspects': 14.125, 'attending events or classes': 10.938, 'again': 9.438, 'I followed by verb': 6.406, ""don't have to"": 5.562, 'tax advice and filing': 4.75, 'to followed by action verbs': 4.594, 'for the purpose or duration': 3.938, 'need to do': 3.828, 'capability questions': 3.734}"
39,23,40,ist das dann novhmal eine ausbildung oder nur die prüfung,Is that another training or just the exam?,10,8,study_program,follow-up_question,certain,"{'training courses, plans, and experiences': 12.062, 'another [noun]': 10.188, 'training and professional development': 7.562, 'exam covers and typically taken': 7.125, 'examining, examination, examens': 7.094, 'training data, process, parameters': 5.531, 'just another': 5.219, 'saying ""just""': 4.875, 'is it + condition/possibility': 4.5, 'is that correct/what': 4.5}"
40,23,41,ist das studium schwer,Is the study difficult?,4,4,study_program,follow-up_question,uncertain,"{'academic research study': 8.188, 'difficult challenges and situations': 6.688, 'studying and its contexts': 5.969, '""the"" followed by nouns in questions': 5.031, 'assistant turn start': 4.031, 'questions about correctness or state': 4.031, 'capability questions': 3.609, 'Is at beginning of phrases': 3.547, 'this is a question': 3.312, 'how does': 3.078}"
41,23,42,wie wird die schwere des studiengangs bewertet,How is the difficulty of the degree program assessed?,7,9,study_program,follow-up_question,certain,"{'degree of': 11.375, 'how are you': 6.562, 'difficult challenges and situations': 7.312, 'assess, assessing, assessment': 6.938, '""the"" followed by nouns in questions': 6.188, 'assistant turn start': 5.219, 'programmatic, programs': 4.969, 'where is or when is': 4.594, 'is/are followed by past participle': 4.219}"
42,23,43,wo kann man das studieren bei welchen firmen in der nähe,Where can you study this and which companies are nearby?,11,10,uni,follow-up_question,certain,"{'where can i find or access': 6.812, 'which question starter': 7.312, 'studying and its contexts': 7.156, 'questions starting with how can': 6.25, 'company information and descriptions': 5.75, 'academic fields and degrees': 5.375, 'and how/what/why': 4.562, 'what [noun] does/did/is': 4.469, 'assistant turn start': 4.094}"
43,23,44,welche firmen bieten das dual nähe main tauber krei an,Which companies offer dual training near Main-Tauber-Kreis?,10,7,job,follow-up_question,certain,"{'dual or twin relationships': 15.438, 'training courses, plans, and experiences': 10.188, 'near future': 9.062, 'main program code or identifier': 8.438, 'words starting with ""Ta""': 7.938, 'offers a': 6.688, 'company information and descriptions': 6.562, 'Baden-Württemberg': 5.656, 'the main character': 5.562, 'german locations and regions': 5.531}"
44,23,45,nenne mir konkrete stellen wo man sich bewerben könnte,name specific places where one could apply,9,7,job,follow-up_request,certain,"{'apply procedures or actions': 9.312, 'locations and destinations': 8.25, 'where can i find or access': 7.375, 'specific': 6.719, 'places and circumstances': 4.094, ""one's, one another, one hand"": 3.75, 'one followed by a noun': 3.297, ""one's own"": 3.203, 'apply the concepts learned': 3.047, 'specific questions or information': 2.984}"
45,23,46,wie ist der studiengang an der dhbw mosbach,What is the study program like at DHBW Mosbach?,8,9,uni,question,certain,"{'questions about meaning and purpose': 15.438, '""what is"" questions': 14.688, 'words starting with D': 13, 'mosquitos, mosques, Mozambique': 8.188, 'studying and its contexts': 7.656, 'programmatic, programs': 7, 'Baden-Württemberg': 6.156, 'Fachbereich Informatik Darmstadt': 4.938, 'assistant turn start': 4.844, 'from the university or school': 4.812}"
46,23,47,gibt es bewertungen des studiengangs von dhbw studenten,Are there reviews of the program from DHBW students?,8,9,study_program,follow-up_question,certain,"{'words starting with D': 12.438, 'there a or there any': 11, 'review': 9.562, 'there are + quantifier': 7.531, 'programmatic, programs': 6.875, 'Baden-Württemberg': 6.875, 'student body': 6.188, 'words beginning with d': 5.469, 'originating from sources': 5.031, 'successful games and funding': 4.188}"
47,23,48,wo finde ich konkret solche bewertungen,Where can I find such reviews specifically?,6,7,general,follow-up_question,certain,"{'where can i find or access': 6.812, 'specifically designed for': 8.812, 'review': 8.75, 'questions starting with how can': 6.25, 'such a way that': 5.844, 'find specific information': 5.281, 'how can I do a task': 5.281, 'assistant turn start': 4.812, 'such followed by a noun': 4.156}"
48,23,49,wie viel kostet dieses studium oder fallen extrakosten an,"How much does this study program cost, or are there any additional costs?",9,13,finance,question,certain,"{'how much questions': 15.125, 'additional context or information': 9.125, 'fee for': 7.719, 'questions starting with does': 6.875, 'Are you': 6.812, 'programmatic, programs': 6.656, 'there are + quantifier': 5.469, 'cost or price of items': 4.812, 'assistant turn start': 4.688, 'or introducing alternatives': 4.688}"
49,24,50,Welche Fächer bzw. Module werden im Studiengang Mechatronik unterrichtet?,What subjects or modules are taught in the Mechatronics degree program?,9,11,study_program,question,certain,"{'""Me"" followed by verbs in Romance languages': 12.438, 'how many are': 8.25, 'subject matter or headlines': 8.188, 'ModuleNotFoundError: No module named': 6.844, 'degree of': 6.5, 'mechanical engineering and science': 5.844, 'programmatic, programs': 5.719, 'what [noun] does/did/is': 5.281, 'me or mé followed by words': 5.125, 'categories connected by or': 4.938}"
50,24,51,Wie hoch sind durchschnittlich die Durchfall bzw. Abbruchquoten?,What are the average failure or dropout rates?,8,8,grades,follow-up_question,certain,"{'What are the': 17.125, 'questions starting with ""what are""': 16.625, 'fail to': 10.312, 'average followed by a noun': 9.875, 'follow-up rate': 5.688, 'assistant turn start': 5.344, 'dropshipping and drop-down': 5.25, 'rate and its usage': 5.125, 'how does': 4.25, 'no barriers or ideal circumstances': 4.188}"
51,24,52,Was sind die Karrieremöglichkeiten danach?,What are the career opportunities afterwards?,5,6,job,follow-up_question,certain,"{'What are the': 4.438, 'questions starting with ""what are""': 16.625, 'career path and development': 13.125, 'opportunities': 7.594, 'assistant turn start': 5.312, 'how does': 3.359, 'what is the meaning of': 3.125}"
52,24,53,Werden später von den Unternehmen eher dual Studierende oder kooperative Studenten übernommen?,Will companies later prefer to hire dual students or cooperative students?,12,11,job,follow-up_question,uncertain,"{'dual or twin relationships': 12.438, 'Later': 10.25, 'prefer to or prefer the': 9, 'cooperation and cooperative': 7.875, 'company information and descriptions': 6.281, 'student body': 5.875, 'hiring trends': 5.281, 'Fachbereich Informatik Darmstadt': 4.531, 'assistant turn start': 4.375}"
53,24,54,Wie bereite ich mich auf das kooperative Studium Mechatronik am besten vor?,How can I best prepare for the cooperative study program in Mechatronics?,12,12,study_program,question,certain,"{'questions starting with how can': 15, 'how can I do a task': 11.312, 'cooperation and cooperative': 10.625, '""Me"" followed by verbs in Romance languages': 10.25, 'prepare for something': 8.188, 'exam and test': 7.625, 'programmatic, programs': 7.406, 'best way to do': 7.219, 'studying and its contexts': 6.844, 'how can i use': 5.438}"
54,25,55,Welche Hochschulen gibt es in bw?,What universities are there in Baden-Württemberg?,6,6,uni,question,certain,"{'bad and negative descriptors': 5.312, 'Baden-Württemberg': 6.438, 'university of': 8.062, 'german umlauts and greetings': 7.188, 'how many are': 7.125, 'places to visit': 6.219, 'words ending in en': 5.562, 'what [noun] does/did/is': 5.375}"
55,25,56,Kannst du genauer auf das KIT eingehen?,Can you elaborate more on the KIT?,7,7,uni,follow-up_question,certain,"{'k followed by certain characters': 13.812, 'can i / can we questions': 7.438, 'user requests for action': 7.125, 'elaborate and elaboration': 7.062, 'ketamine or cats': 6.25, 'can you questions': 5.188, 'explaining concepts and differences': 4.844, 'describe or summarize topics': 4.469, 'how does': 4.031, 'Zhejiang, Shijiazhuang, Hubei, Yichang': 3.969}"
56,25,57,Welche Vorteile hat das KIT im vergleich zu anderen Hochschule,What advantages does the KIT have compared to other universities?,10,10,uni,follow-up_question,certain,"{'compared to or with': 12.75, 'k followed by certain characters': 11.875, 'advantages and disadvantages': 9.5, 'questions starting with does': 7.594, 'university of': 5.906, 'specific educational institutions and programs': 5.562, 'advantages of using': 5.562, 'words starting with K': 5.5, '""the"" followed by nouns in questions': 5.281, 'ketamine or cats': 5.094}"
57,25,58,Welche sind die beliebtesten Studiengänge an der KIT,What are the most popular degree programs at KIT?,8,9,uni,follow-up_question,certain,"{'What are the': 17.125, 'questions starting with ""what are""': 16.625, 'most followed by superlatives': 11.375, 'degree of': 9.438, 'words starting with K': 8.562, 'k followed by certain characters': 8.5, 'popular choice, activity, approach': 7.406, 'from the university or school': 5.656, 'programmatic, programs': 5.688}"
58,25,59,Was macht man in einem Maschinenbau Studium?,What do you do in a mechanical engineering program?,7,9,study_program,question,certain,"{'mechanical engineering and science': 14.5, 'what do you': 7.312, 'programmatic, programs': 7.281, 'engineering assistant or design': 7.125, 'what can do': 6.875, 'a followed by situation or entity': 5.75, 'what do you want/do/think/like/need': 4.781, 'in a nutshell': 4, 'assistant turn start': 3.984}"
59,25,60,"Habe ich Vorteile, wenn ich vorher auf einem technischen Gymnasium war?",Do I have advantages if I attended a technical high school beforehand?,11,12,grades,follow-up_question,uncertain,"{'technical topics': 12.562, 'attending events or classes': 7.594, 'I followed by verb': 6.406, 'advantage and disadvantaged': 6, 'advantages and disadvantages': 5.906, 'high word compounds': 5.312, 'primary and secondary schools': 4.188, 'capability questions': 4.906, 'specific educational institutions and programs': 4.719}"
60,25,61,Gibt es Möglichkeiten Maschinenbau Dual zu studieren?,Are there options to study mechanical engineering in a dual program?,7,11,study_program,follow-up_question,certain,"{'mechanical engineering and science': 11.938, 'there a or there any': 11, 'dual or twin relationships': 10.938, 'studying and its contexts': 9, 'options followed by list introducers': 7.781, 'programmatic, programs': 7.594, 'there are + quantifier': 7.531, 'engineering assistant or design': 6.344, 'offer specialized MBA programs': 4.312, 'capability questions': 4.156}"
61,25,62,Welche Vorteile hat ein duales Studium im vergleich zu einem normalen Studium?,What advantages does a dual study program have compared to a regular study program?,12,14,general,follow-up_question,certain,"{'dual or twin relationships': 15.25, 'compared to or with': 13, 'advantages and disadvantages': 9.5, 'Fachbereich Informatik Darmstadt': 6.594, 'questions starting with does': 7.594, 'programmatic, programs': 5.75, 'advantages of using': 5.5}"
62,25,63,Was ist mit einem kooperativen Studium?,What is a cooperative study program?,6,6,study_program,follow-up_question,certain,"{'What is a': 17, '""what is"" questions': 14.625, 'cooperation and cooperative': 10.125, 'programmatic, programs': 7.562, 'academic research study': 6.812, 'assistant turn start': 6.156, 'cooperative housing societies': 5.312, 'studying and its contexts': 5, 'asking what something is': 4.75, 'how does': 4.562}"
63,28,64,Nenne mir Informationen zu dem Dualen Studiengang Vermessung und Geoinformatik,Please provide the text you would like me to translate.,10,10,study_program,request,certain,"{""you'd like me to"": 9.25, 'would like': 8.25, 'text below is': 6.844, 'requests to provide content': 6.594, 'to assist or perform actions': 6.375, 'you would like me to': 5.969, 'end of question or request': 5.75, 'describing what is wanted': 5.031, 'give me the': 4.562}"
64,28,65,Kannst du mir auch informationen zu Würzburg nennen,Can you also provide me with information about Würzburg?,8,9,uni,follow-up_request,certain,"{'words starting with w': 14.25, 'can i / can we questions': 7.438, 'user requests for action': 7.125, 'wer bist du, werfen, werker': 6.469, 'requests to provide content': 6.375, 'providing information': 6.281, 'you with': 6.188, 'information about or on': 6.094, 'also introducing continuation': 5.875, 'Zhejiang, Shijiazhuang, Hubei, Yichang': 5.719}"
65,28,66,Welche Personen passen zu diesem Studiengang,Which individuals are suited for this degree program?,6,8,matching,follow-up_question,certain,"{'suited for tasks': 8.875, 'degree of': 8, 'individuals and groups': 6.406, 'programmatic, programs': 4.719, 'what [noun] does/did/is': 4.562, 'how many are': 4.25, 'assistant turn start': 4.062, 'who are you': 3.969, 'suitability for roles and positions': 3.953, ""master's degree or MSc degree"": 3.25}"
